group,source,factor_id,name,expression
qlib_builtin,qlib_builtin,qb_mom_10,10日收益率动量,"$close / Ref($close, 10) - 1"
qlib_builtin,qlib_builtin,qb_mom_20,20日收益率动量,"$close / Ref($close, 20) - 1"
qlib_builtin,qlib_builtin,qb_mom_5,5日收益率动量,"$close / Ref($close, 5) - 1"
qlib_builtin,qlib_builtin,qb_mom_60,60日收益率动量,"$close / Ref($close, 60) - 1"
qlib_builtin,qlib_builtin,qb_rev_20,20日反转,"$close / Ref($close, 20) - 1"
qlib_builtin,qlib_builtin,qb_rev_5,5日反转,"$close / Ref($close, 5) - 1"
qlib_builtin,qlib_builtin,qb_rsi_14,RSI14,"100 - 100 / (1 + Mean(Greater($close - Ref($close, 1), 0), 14) / (Mean(Abs($close - Ref($close, 1)), 14) + 1e-12))"
qlib_builtin,qlib_builtin,qb_turn_mean_20,20日换手率均值,"Mean($turnover, 20)"
qlib_builtin,qlib_builtin,qb_turn_mean_5,5日换手率均值,"Mean($turnover, 5)"
qlib_builtin,qlib_builtin,qb_turn_std_20,20日换手率波动率,"Std($turnover, 20)"
qlib_builtin,qlib_builtin,qb_vol_ret_20,20日收益波动率,"Std($close / Ref($close, 1) - 1, 20)"
qlib_builtin,qlib_builtin,qb_vol_ret_60,60日收益波动率,"Std($close / Ref($close, 1) - 1, 60)"
qlib_builtin,qlib_builtin,qb_volratio_5_20,5日量比相对20日,"Mean($volume, 5) / Mean($volume, 20)"
statistics,custom,stat_consecutive_up,连续上涨天数5日,"Sum(If($close > Ref($close, 1), 1, 0), 5)"
statistics,custom,stat_max_drawdown_10,最大回撤10日,"($close - Max($high, 10)) / (Max($high, 10) + 1e-12)"
statistics,custom,stat_recovery_speed,低点回复速度,"$close / Min($low, 10) - 1"
statistics,custom,stat_ret_autocorr_5,收益率自相关5日,"Corr($close / Ref($close, 1) - 1, Ref($close / Ref($close, 1) - 1, 1), 5)"
statistics,custom,stat_ret_kurt_20,收益率峰度20日,"Kurt($close / Ref($close, 1) - 1, 20)"
statistics,custom,stat_updown_ratio,上涨比率20日,"Mean(If($close > Ref($close, 1), 1, 0), 20)"
wide_cashflow_leverage,wide_table,wide_bps_bias20,每股净资产20日偏离,"($bps - Mean($bps, 20)) / (Std($bps, 20) + 1e-12)"
wide_cashflow_leverage,wide_table,wide_bps_chg20,每股净资产20日变化,"$bps / (Ref($bps, 20) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_bps_chg5,每股净资产5日变化,"$bps / (Ref($bps, 5) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_bps_chg60,每股净资产60日变化,"$bps / (Ref($bps, 60) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_bps_raw,每股净资产(原始),$bps
wide_cashflow_leverage,wide_table,wide_current_ratio_bias20,流动比率20日偏离,"($current_ratio - Mean($current_ratio, 20)) / (Std($current_ratio, 20) + 1e-12)"
wide_cashflow_leverage,wide_table,wide_current_ratio_chg20,流动比率20日变化,"$current_ratio / (Ref($current_ratio, 20) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_current_ratio_chg5,流动比率5日变化,"$current_ratio / (Ref($current_ratio, 5) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_current_ratio_chg60,流动比率60日变化,"$current_ratio / (Ref($current_ratio, 60) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_current_ratio_raw,流动比率(原始),$current_ratio
wide_cashflow_leverage,wide_table,wide_debt_to_assets_bias20,资产负债率20日偏离,"($debt_to_assets - Mean($debt_to_assets, 20)) / (Std($debt_to_assets, 20) + 1e-12)"
wide_cashflow_leverage,wide_table,wide_debt_to_assets_chg20,资产负债率20日变化,"$debt_to_assets / (Ref($debt_to_assets, 20) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_debt_to_assets_chg5,资产负债率5日变化,"$debt_to_assets / (Ref($debt_to_assets, 5) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_debt_to_assets_chg60,资产负债率60日变化,"$debt_to_assets / (Ref($debt_to_assets, 60) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_debt_to_assets_raw,资产负债率(原始),$debt_to_assets
wide_cashflow_leverage,wide_table,wide_eps_bias20,每股收益20日偏离,"($eps - Mean($eps, 20)) / (Std($eps, 20) + 1e-12)"
wide_cashflow_leverage,wide_table,wide_eps_chg20,每股收益20日变化,"$eps / (Ref($eps, 20) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_eps_chg5,每股收益5日变化,"$eps / (Ref($eps, 5) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_eps_chg60,每股收益60日变化,"$eps / (Ref($eps, 60) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_eps_raw,每股收益(原始),$eps
wide_cashflow_leverage,wide_table,wide_ocf_to_or_bias20,经营现金流/营收20日偏离,"($ocf_to_or - Mean($ocf_to_or, 20)) / (Std($ocf_to_or, 20) + 1e-12)"
wide_cashflow_leverage,wide_table,wide_ocf_to_or_chg20,经营现金流/营收20日变化,"$ocf_to_or / (Ref($ocf_to_or, 20) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_ocf_to_or_chg5,经营现金流/营收5日变化,"$ocf_to_or / (Ref($ocf_to_or, 5) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_ocf_to_or_chg60,经营现金流/营收60日变化,"$ocf_to_or / (Ref($ocf_to_or, 60) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_ocf_to_or_raw,经营现金流/营收(原始),$ocf_to_or
wide_cashflow_leverage,wide_table,wide_ocf_to_profit_bias20,经营现金流/利润20日偏离,"($ocf_to_profit - Mean($ocf_to_profit, 20)) / (Std($ocf_to_profit, 20) + 1e-12)"
wide_cashflow_leverage,wide_table,wide_ocf_to_profit_chg20,经营现金流/利润20日变化,"$ocf_to_profit / (Ref($ocf_to_profit, 20) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_ocf_to_profit_chg5,经营现金流/利润5日变化,"$ocf_to_profit / (Ref($ocf_to_profit, 5) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_ocf_to_profit_chg60,经营现金流/利润60日变化,"$ocf_to_profit / (Ref($ocf_to_profit, 60) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_ocf_to_profit_raw,经营现金流/利润(原始),$ocf_to_profit
wide_cashflow_leverage,wide_table,wide_ocfps_bias20,每股经营现金流20日偏离,"($ocfps - Mean($ocfps, 20)) / (Std($ocfps, 20) + 1e-12)"
wide_cashflow_leverage,wide_table,wide_ocfps_chg20,每股经营现金流20日变化,"$ocfps / (Ref($ocfps, 20) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_ocfps_chg5,每股经营现金流5日变化,"$ocfps / (Ref($ocfps, 5) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_ocfps_chg60,每股经营现金流60日变化,"$ocfps / (Ref($ocfps, 60) + 1e-12) - 1"
wide_cashflow_leverage,wide_table,wide_ocfps_raw,每股经营现金流(原始),$ocfps
wide_chip,wide_table,wide_cost_50pct_bias20,50%成本20日偏离,"($cost_50pct - Mean($cost_50pct, 20)) / (Std($cost_50pct, 20) + 1e-12)"
wide_chip,wide_table,wide_cost_50pct_chg20,50%成本20日变化,"$cost_50pct / (Ref($cost_50pct, 20) + 1e-12) - 1"
wide_chip,wide_table,wide_cost_50pct_chg5,50%成本5日变化,"$cost_50pct / (Ref($cost_50pct, 5) + 1e-12) - 1"
wide_chip,wide_table,wide_cost_50pct_chg60,50%成本60日变化,"$cost_50pct / (Ref($cost_50pct, 60) + 1e-12) - 1"
wide_chip,wide_table,wide_cost_50pct_raw,50%成本(原始),$cost_50pct
wide_chip,wide_table,wide_cost_5pct_bias20,5%成本20日偏离,"($cost_5pct - Mean($cost_5pct, 20)) / (Std($cost_5pct, 20) + 1e-12)"
wide_chip,wide_table,wide_cost_5pct_chg20,5%成本20日变化,"$cost_5pct / (Ref($cost_5pct, 20) + 1e-12) - 1"
wide_chip,wide_table,wide_cost_5pct_chg5,5%成本5日变化,"$cost_5pct / (Ref($cost_5pct, 5) + 1e-12) - 1"
wide_chip,wide_table,wide_cost_5pct_chg60,5%成本60日变化,"$cost_5pct / (Ref($cost_5pct, 60) + 1e-12) - 1"
wide_chip,wide_table,wide_cost_5pct_raw,5%成本(原始),$cost_5pct
wide_chip,wide_table,wide_cost_95pct_bias20,95%成本20日偏离,"($cost_95pct - Mean($cost_95pct, 20)) / (Std($cost_95pct, 20) + 1e-12)"
wide_chip,wide_table,wide_cost_95pct_chg20,95%成本20日变化,"$cost_95pct / (Ref($cost_95pct, 20) + 1e-12) - 1"
wide_chip,wide_table,wide_cost_95pct_chg5,95%成本5日变化,"$cost_95pct / (Ref($cost_95pct, 5) + 1e-12) - 1"
wide_chip,wide_table,wide_cost_95pct_chg60,95%成本60日变化,"$cost_95pct / (Ref($cost_95pct, 60) + 1e-12) - 1"
wide_chip,wide_table,wide_cost_95pct_raw,95%成本(原始),$cost_95pct
wide_chip,wide_table,wide_weight_avg_cost_bias20,加权成本20日偏离,"($weight_avg_cost - Mean($weight_avg_cost, 20)) / (Std($weight_avg_cost, 20) + 1e-12)"
wide_chip,wide_table,wide_weight_avg_cost_chg20,加权成本20日变化,"$weight_avg_cost / (Ref($weight_avg_cost, 20) + 1e-12) - 1"
wide_chip,wide_table,wide_weight_avg_cost_chg5,加权成本5日变化,"$weight_avg_cost / (Ref($weight_avg_cost, 5) + 1e-12) - 1"
wide_chip,wide_table,wide_weight_avg_cost_chg60,加权成本60日变化,"$weight_avg_cost / (Ref($weight_avg_cost, 60) + 1e-12) - 1"
wide_chip,wide_table,wide_weight_avg_cost_raw,加权成本(原始),$weight_avg_cost
wide_chip,wide_table,wide_winner_rate_bias20,获利比例20日偏离,"($winner_rate - Mean($winner_rate, 20)) / (Std($winner_rate, 20) + 1e-12)"
wide_chip,wide_table,wide_winner_rate_chg20,获利比例20日变化,"$winner_rate / (Ref($winner_rate, 20) + 1e-12) - 1"
wide_chip,wide_table,wide_winner_rate_chg5,获利比例5日变化,"$winner_rate / (Ref($winner_rate, 5) + 1e-12) - 1"
wide_chip,wide_table,wide_winner_rate_chg60,获利比例60日变化,"$winner_rate / (Ref($winner_rate, 60) + 1e-12) - 1"
wide_chip,wide_table,wide_winner_rate_raw,获利比例(原始),$winner_rate
wide_cross,wide_table,wide_attack_strength,攻击强度,$attack * $strength
wide_cross,wide_table,wide_buy_sell_diff_norm,净买入归一化,($buying - $selling) / ($buying + $selling + 1e-12)
wide_cross,wide_table,wide_buy_sell_ratio,买卖比,$buying / ($selling + 1e-12)
wide_cross,wide_table,wide_buy_sell_trend,资金流趋势,"Mean($buying / ($selling + 1e-12), 5) / (Mean($buying / ($selling + 1e-12), 20) + 1e-12)"
wide_cross,wide_table,wide_cashflow_quality,现金流质量变化,"$ocf_to_profit - Ref($ocf_to_profit, 20)"
wide_cross,wide_table,wide_chip_pressure,筹码压力,($close - $cost_50pct) / ($cost_95pct - $cost_5pct + 1e-12)
wide_cross,wide_table,wide_chip_support,筹码支撑,($close - $cost_5pct) / ($close + 1e-12)
wide_cross,wide_table,wide_cost_converge,筹码集中度,($cost_95pct - $cost_5pct) / ($close + 1e-12)
wide_cross,wide_table,wide_cost_converge_chg,筹码集中度变化,"($cost_95pct - $cost_5pct) / ($close + 1e-12) - Ref(($cost_95pct - $cost_5pct) / ($close + 1e-12), 10)"
wide_cross,wide_table,wide_earning_yield,盈利收益率,1.0 / ($pe_ttm + 1e-12)
wide_cross,wide_table,wide_ep_roe,ROE/PE(盈利质量),$roe / ($pe_ttm + 1e-12)
wide_cross,wide_table,wide_growth_accel,成长加速度,"$q_netprofit_yoy - Ref($q_netprofit_yoy, 60)"
wide_cross,wide_table,wide_margin_trend,毛利率趋势,"$grossprofit_margin - Ref($grossprofit_margin, 60)"
wide_cross,wide_table,wide_momentum_quality,动量*质量,"($close / Ref($close, 20) - 1) * $roe / 100"
wide_cross,wide_table,wide_mv_ratio,流通市值占比,$circ_mv / ($total_mv + 1e-12)
wide_cross,wide_table,wide_pb_roe,ROE/PB(价值偏离),$roe / ($pb + 1e-12)
wide_cross,wide_table,wide_peg,PEG,$pe_ttm / ($netprofit_yoy + 1e-12)
wide_cross,wide_table,wide_ps_growth,PS/营收增速,$ps_ttm / ($or_yoy + 1e-12)
wide_cross,wide_table,wide_quality_score,质量评分(ROE*低杠杆),$roe * (1 - $debt_to_assets / 100)
wide_cross,wide_table,wide_size_ln,对数流通市值,Log($circ_mv + 1)
wide_cross,wide_table,wide_value_momentum,价值动量共振,"(1.0 / ($pe_ttm + 1e-12)) * ($close / Ref($close, 5) - 1)"
wide_cross,wide_table,wide_vol_price_sync,量价相关性10日,"Corr($close, $vol, 10)"
wide_cross,wide_table,wide_vol_swing,振幅量比乘积,$swing * $vol_ratio
wide_cross,wide_table,wide_winner_chg20,获利比例20日变化,"$winner_rate - Ref($winner_rate, 20)"
wide_cross,wide_table,wide_winner_chg5,获利比例5日变化,"$winner_rate - Ref($winner_rate, 5)"
wide_growth,wide_table,wide_basic_eps_yoy_bias20,EPS同比20日偏离,"($basic_eps_yoy - Mean($basic_eps_yoy, 20)) / (Std($basic_eps_yoy, 20) + 1e-12)"
wide_growth,wide_table,wide_basic_eps_yoy_chg20,EPS同比20日变化,"$basic_eps_yoy / (Ref($basic_eps_yoy, 20) + 1e-12) - 1"
wide_growth,wide_table,wide_basic_eps_yoy_chg5,EPS同比5日变化,"$basic_eps_yoy / (Ref($basic_eps_yoy, 5) + 1e-12) - 1"
wide_growth,wide_table,wide_basic_eps_yoy_chg60,EPS同比60日变化,"$basic_eps_yoy / (Ref($basic_eps_yoy, 60) + 1e-12) - 1"
wide_growth,wide_table,wide_basic_eps_yoy_raw,EPS同比(原始),$basic_eps_yoy
wide_growth,wide_table,wide_netprofit_yoy_bias20,净利同比20日偏离,"($netprofit_yoy - Mean($netprofit_yoy, 20)) / (Std($netprofit_yoy, 20) + 1e-12)"
wide_growth,wide_table,wide_netprofit_yoy_chg20,净利同比20日变化,"$netprofit_yoy / (Ref($netprofit_yoy, 20) + 1e-12) - 1"
wide_growth,wide_table,wide_netprofit_yoy_chg5,净利同比5日变化,"$netprofit_yoy / (Ref($netprofit_yoy, 5) + 1e-12) - 1"
wide_growth,wide_table,wide_netprofit_yoy_chg60,净利同比60日变化,"$netprofit_yoy / (Ref($netprofit_yoy, 60) + 1e-12) - 1"
wide_growth,wide_table,wide_netprofit_yoy_raw,净利同比(原始),$netprofit_yoy
wide_growth,wide_table,wide_op_yoy_bias20,营利同比20日偏离,"($op_yoy - Mean($op_yoy, 20)) / (Std($op_yoy, 20) + 1e-12)"
wide_growth,wide_table,wide_op_yoy_chg20,营利同比20日变化,"$op_yoy / (Ref($op_yoy, 20) + 1e-12) - 1"
wide_growth,wide_table,wide_op_yoy_chg5,营利同比5日变化,"$op_yoy / (Ref($op_yoy, 5) + 1e-12) - 1"
wide_growth,wide_table,wide_op_yoy_chg60,营利同比60日变化,"$op_yoy / (Ref($op_yoy, 60) + 1e-12) - 1"
wide_growth,wide_table,wide_op_yoy_raw,营利同比(原始),$op_yoy
wide_growth,wide_table,wide_or_yoy_bias20,营收同比20日偏离,"($or_yoy - Mean($or_yoy, 20)) / (Std($or_yoy, 20) + 1e-12)"
wide_growth,wide_table,wide_or_yoy_chg20,营收同比20日变化,"$or_yoy / (Ref($or_yoy, 20) + 1e-12) - 1"
wide_growth,wide_table,wide_or_yoy_chg5,营收同比5日变化,"$or_yoy / (Ref($or_yoy, 5) + 1e-12) - 1"
wide_growth,wide_table,wide_or_yoy_chg60,营收同比60日变化,"$or_yoy / (Ref($or_yoy, 60) + 1e-12) - 1"
wide_growth,wide_table,wide_or_yoy_raw,营收同比(原始),$or_yoy
wide_growth,wide_table,wide_q_netprofit_yoy_bias20,单季净利同比20日偏离,"($q_netprofit_yoy - Mean($q_netprofit_yoy, 20)) / (Std($q_netprofit_yoy, 20) + 1e-12)"
wide_growth,wide_table,wide_q_netprofit_yoy_chg20,单季净利同比20日变化,"$q_netprofit_yoy / (Ref($q_netprofit_yoy, 20) + 1e-12) - 1"
wide_growth,wide_table,wide_q_netprofit_yoy_chg5,单季净利同比5日变化,"$q_netprofit_yoy / (Ref($q_netprofit_yoy, 5) + 1e-12) - 1"
wide_growth,wide_table,wide_q_netprofit_yoy_chg60,单季净利同比60日变化,"$q_netprofit_yoy / (Ref($q_netprofit_yoy, 60) + 1e-12) - 1"
wide_growth,wide_table,wide_q_netprofit_yoy_raw,单季净利同比(原始),$q_netprofit_yoy
wide_growth,wide_table,wide_q_sales_yoy_bias20,单季营收同比20日偏离,"($q_sales_yoy - Mean($q_sales_yoy, 20)) / (Std($q_sales_yoy, 20) + 1e-12)"
wide_growth,wide_table,wide_q_sales_yoy_chg20,单季营收同比20日变化,"$q_sales_yoy / (Ref($q_sales_yoy, 20) + 1e-12) - 1"
wide_growth,wide_table,wide_q_sales_yoy_chg5,单季营收同比5日变化,"$q_sales_yoy / (Ref($q_sales_yoy, 5) + 1e-12) - 1"
wide_growth,wide_table,wide_q_sales_yoy_chg60,单季营收同比60日变化,"$q_sales_yoy / (Ref($q_sales_yoy, 60) + 1e-12) - 1"
wide_growth,wide_table,wide_q_sales_yoy_raw,单季营收同比(原始),$q_sales_yoy
wide_profitability,wide_table,wide_grossprofit_margin_bias20,毛利率20日偏离,"($grossprofit_margin - Mean($grossprofit_margin, 20)) / (Std($grossprofit_margin, 20) + 1e-12)"
wide_profitability,wide_table,wide_grossprofit_margin_chg20,毛利率20日变化,"$grossprofit_margin / (Ref($grossprofit_margin, 20) + 1e-12) - 1"
wide_profitability,wide_table,wide_grossprofit_margin_chg5,毛利率5日变化,"$grossprofit_margin / (Ref($grossprofit_margin, 5) + 1e-12) - 1"
wide_profitability,wide_table,wide_grossprofit_margin_chg60,毛利率60日变化,"$grossprofit_margin / (Ref($grossprofit_margin, 60) + 1e-12) - 1"
wide_profitability,wide_table,wide_grossprofit_margin_raw,毛利率(原始),$grossprofit_margin
wide_profitability,wide_table,wide_netprofit_margin_bias20,净利率20日偏离,"($netprofit_margin - Mean($netprofit_margin, 20)) / (Std($netprofit_margin, 20) + 1e-12)"
wide_profitability,wide_table,wide_netprofit_margin_chg20,净利率20日变化,"$netprofit_margin / (Ref($netprofit_margin, 20) + 1e-12) - 1"
wide_profitability,wide_table,wide_netprofit_margin_chg5,净利率5日变化,"$netprofit_margin / (Ref($netprofit_margin, 5) + 1e-12) - 1"
wide_profitability,wide_table,wide_netprofit_margin_chg60,净利率60日变化,"$netprofit_margin / (Ref($netprofit_margin, 60) + 1e-12) - 1"
wide_profitability,wide_table,wide_netprofit_margin_raw,净利率(原始),$netprofit_margin
wide_profitability,wide_table,wide_roa_bias20,ROA20日偏离,"($roa - Mean($roa, 20)) / (Std($roa, 20) + 1e-12)"
wide_profitability,wide_table,wide_roa_chg20,ROA20日变化,"$roa / (Ref($roa, 20) + 1e-12) - 1"
wide_profitability,wide_table,wide_roa_chg5,ROA5日变化,"$roa / (Ref($roa, 5) + 1e-12) - 1"
wide_profitability,wide_table,wide_roa_chg60,ROA60日变化,"$roa / (Ref($roa, 60) + 1e-12) - 1"
wide_profitability,wide_table,wide_roa_raw,ROA(原始),$roa
wide_profitability,wide_table,wide_roe_bias20,ROE20日偏离,"($roe - Mean($roe, 20)) / (Std($roe, 20) + 1e-12)"
wide_profitability,wide_table,wide_roe_chg20,ROE20日变化,"$roe / (Ref($roe, 20) + 1e-12) - 1"
wide_profitability,wide_table,wide_roe_chg5,ROE5日变化,"$roe / (Ref($roe, 5) + 1e-12) - 1"
wide_profitability,wide_table,wide_roe_chg60,ROE60日变化,"$roe / (Ref($roe, 60) + 1e-12) - 1"
wide_profitability,wide_table,wide_roe_raw,ROE(原始),$roe
wide_profitability,wide_table,wide_roic_bias20,ROIC20日偏离,"($roic - Mean($roic, 20)) / (Std($roic, 20) + 1e-12)"
wide_profitability,wide_table,wide_roic_chg20,ROIC20日变化,"$roic / (Ref($roic, 20) + 1e-12) - 1"
wide_profitability,wide_table,wide_roic_chg5,ROIC5日变化,"$roic / (Ref($roic, 5) + 1e-12) - 1"
wide_profitability,wide_table,wide_roic_chg60,ROIC60日变化,"$roic / (Ref($roic, 60) + 1e-12) - 1"
wide_profitability,wide_table,wide_roic_raw,ROIC(原始),$roic
wide_quarter,wide_table,wide_q_gsprofit_margin_bias20,单季毛利率20日偏离,"($q_gsprofit_margin - Mean($q_gsprofit_margin, 20)) / (Std($q_gsprofit_margin, 20) + 1e-12)"
wide_quarter,wide_table,wide_q_gsprofit_margin_chg20,单季毛利率20日变化,"$q_gsprofit_margin / (Ref($q_gsprofit_margin, 20) + 1e-12) - 1"
wide_quarter,wide_table,wide_q_gsprofit_margin_chg5,单季毛利率5日变化,"$q_gsprofit_margin / (Ref($q_gsprofit_margin, 5) + 1e-12) - 1"
wide_quarter,wide_table,wide_q_gsprofit_margin_chg60,单季毛利率60日变化,"$q_gsprofit_margin / (Ref($q_gsprofit_margin, 60) + 1e-12) - 1"
wide_quarter,wide_table,wide_q_gsprofit_margin_raw,单季毛利率(原始),$q_gsprofit_margin
wide_quarter,wide_table,wide_q_roe_bias20,单季ROE20日偏离,"($q_roe - Mean($q_roe, 20)) / (Std($q_roe, 20) + 1e-12)"
wide_quarter,wide_table,wide_q_roe_chg20,单季ROE20日变化,"$q_roe / (Ref($q_roe, 20) + 1e-12) - 1"
wide_quarter,wide_table,wide_q_roe_chg5,单季ROE5日变化,"$q_roe / (Ref($q_roe, 5) + 1e-12) - 1"
wide_quarter,wide_table,wide_q_roe_chg60,单季ROE60日变化,"$q_roe / (Ref($q_roe, 60) + 1e-12) - 1"
wide_quarter,wide_table,wide_q_roe_raw,单季ROE(原始),$q_roe
wide_sentiment,wide_table,wide_activity_bias20,活跃度20日偏离,"($activity - Mean($activity, 20)) / (Std($activity, 20) + 1e-12)"
wide_sentiment,wide_table,wide_activity_chg20,活跃度20日变化,"$activity / (Ref($activity, 20) + 1e-12) - 1"
wide_sentiment,wide_table,wide_activity_chg5,活跃度5日变化,"$activity / (Ref($activity, 5) + 1e-12) - 1"
wide_sentiment,wide_table,wide_activity_chg60,活跃度60日变化,"$activity / (Ref($activity, 60) + 1e-12) - 1"
wide_sentiment,wide_table,wide_activity_raw,活跃度(原始),$activity
wide_sentiment,wide_table,wide_attack_bias20,攻击力20日偏离,"($attack - Mean($attack, 20)) / (Std($attack, 20) + 1e-12)"
wide_sentiment,wide_table,wide_attack_chg20,攻击力20日变化,"$attack / (Ref($attack, 20) + 1e-12) - 1"
wide_sentiment,wide_table,wide_attack_chg5,攻击力5日变化,"$attack / (Ref($attack, 5) + 1e-12) - 1"
wide_sentiment,wide_table,wide_attack_chg60,攻击力60日变化,"$attack / (Ref($attack, 60) + 1e-12) - 1"
wide_sentiment,wide_table,wide_attack_raw,攻击力(原始),$attack
wide_sentiment,wide_table,wide_buying_bias20,买盘20日偏离,"($buying - Mean($buying, 20)) / (Std($buying, 20) + 1e-12)"
wide_sentiment,wide_table,wide_buying_chg20,买盘20日变化,"$buying / (Ref($buying, 20) + 1e-12) - 1"
wide_sentiment,wide_table,wide_buying_chg5,买盘5日变化,"$buying / (Ref($buying, 5) + 1e-12) - 1"
wide_sentiment,wide_table,wide_buying_chg60,买盘60日变化,"$buying / (Ref($buying, 60) + 1e-12) - 1"
wide_sentiment,wide_table,wide_buying_raw,买盘(原始),$buying
wide_sentiment,wide_table,wide_selling_bias20,卖盘20日偏离,"($selling - Mean($selling, 20)) / (Std($selling, 20) + 1e-12)"
wide_sentiment,wide_table,wide_selling_chg20,卖盘20日变化,"$selling / (Ref($selling, 20) + 1e-12) - 1"
wide_sentiment,wide_table,wide_selling_chg5,卖盘5日变化,"$selling / (Ref($selling, 5) + 1e-12) - 1"
wide_sentiment,wide_table,wide_selling_chg60,卖盘60日变化,"$selling / (Ref($selling, 60) + 1e-12) - 1"
wide_sentiment,wide_table,wide_selling_raw,卖盘(原始),$selling
wide_sentiment,wide_table,wide_strength_bias20,强弱度20日偏离,"($strength - Mean($strength, 20)) / (Std($strength, 20) + 1e-12)"
wide_sentiment,wide_table,wide_strength_chg20,强弱度20日变化,"$strength / (Ref($strength, 20) + 1e-12) - 1"
wide_sentiment,wide_table,wide_strength_chg5,强弱度5日变化,"$strength / (Ref($strength, 5) + 1e-12) - 1"
wide_sentiment,wide_table,wide_strength_chg60,强弱度60日变化,"$strength / (Ref($strength, 60) + 1e-12) - 1"
wide_sentiment,wide_table,wide_strength_raw,强弱度(原始),$strength
wide_sentiment,wide_table,wide_swing_bias20,振幅20日偏离,"($swing - Mean($swing, 20)) / (Std($swing, 20) + 1e-12)"
wide_sentiment,wide_table,wide_swing_chg20,振幅20日变化,"$swing / (Ref($swing, 20) + 1e-12) - 1"
wide_sentiment,wide_table,wide_swing_chg5,振幅5日变化,"$swing / (Ref($swing, 5) + 1e-12) - 1"
wide_sentiment,wide_table,wide_swing_chg60,振幅60日变化,"$swing / (Ref($swing, 60) + 1e-12) - 1"
wide_sentiment,wide_table,wide_swing_raw,振幅(原始),$swing
wide_sentiment,wide_table,wide_turnover_rate_f_bias20,换手率20日偏离,"($turnover_rate_f - Mean($turnover_rate_f, 20)) / (Std($turnover_rate_f, 20) + 1e-12)"
wide_sentiment,wide_table,wide_turnover_rate_f_chg20,换手率20日变化,"$turnover_rate_f / (Ref($turnover_rate_f, 20) + 1e-12) - 1"
wide_sentiment,wide_table,wide_turnover_rate_f_chg5,换手率5日变化,"$turnover_rate_f / (Ref($turnover_rate_f, 5) + 1e-12) - 1"
wide_sentiment,wide_table,wide_turnover_rate_f_chg60,换手率60日变化,"$turnover_rate_f / (Ref($turnover_rate_f, 60) + 1e-12) - 1"
wide_sentiment,wide_table,wide_turnover_rate_f_raw,换手率(原始),$turnover_rate_f
wide_sentiment,wide_table,wide_vol_ratio_bias20,量比20日偏离,"($vol_ratio - Mean($vol_ratio, 20)) / (Std($vol_ratio, 20) + 1e-12)"
wide_sentiment,wide_table,wide_vol_ratio_chg20,量比20日变化,"$vol_ratio / (Ref($vol_ratio, 20) + 1e-12) - 1"
wide_sentiment,wide_table,wide_vol_ratio_chg5,量比5日变化,"$vol_ratio / (Ref($vol_ratio, 5) + 1e-12) - 1"
wide_sentiment,wide_table,wide_vol_ratio_chg60,量比60日变化,"$vol_ratio / (Ref($vol_ratio, 60) + 1e-12) - 1"
wide_sentiment,wide_table,wide_vol_ratio_raw,量比(原始),$vol_ratio
wide_size,wide_table,wide_circ_mv_bias20,流通市值20日偏离,"($circ_mv - Mean($circ_mv, 20)) / (Std($circ_mv, 20) + 1e-12)"
wide_size,wide_table,wide_circ_mv_chg20,流通市值20日变化,"$circ_mv / (Ref($circ_mv, 20) + 1e-12) - 1"
wide_size,wide_table,wide_circ_mv_chg5,流通市值5日变化,"$circ_mv / (Ref($circ_mv, 5) + 1e-12) - 1"
wide_size,wide_table,wide_circ_mv_chg60,流通市值60日变化,"$circ_mv / (Ref($circ_mv, 60) + 1e-12) - 1"
wide_size,wide_table,wide_circ_mv_raw,流通市值(原始),$circ_mv
wide_size,wide_table,wide_total_mv_bias20,总市值20日偏离,"($total_mv - Mean($total_mv, 20)) / (Std($total_mv, 20) + 1e-12)"
wide_size,wide_table,wide_total_mv_chg20,总市值20日变化,"$total_mv / (Ref($total_mv, 20) + 1e-12) - 1"
wide_size,wide_table,wide_total_mv_chg5,总市值5日变化,"$total_mv / (Ref($total_mv, 5) + 1e-12) - 1"
